"","vector_filenames","vector_output_text"
"53","doc 3.docx","Inspect for missing or damaged asset tag.  Replace as needed."
"54","doc 3.docx","Replace PM Due Date sticker."
"55","doc 3.docx","Make appropriate PM log book entry."
"56","doc 3.docx","DOC3 JUNK"
"57","doc 3.docx","DOC3 JUNK "
"58","doc 3.docx","DOC3 JUNK"
"59","doc 3.docx","DOC3 JUNK END LINE"
"60","doc 4.docx","TITLE"
"61","doc 4.docx","SUBTITLES"
"62","doc 4.docx","HEADER 1"
"63","doc 4.docx","doc 4 text line one"
"64","doc 4.docx","doc 4 text line one"
"65","doc 4.docx","doc 4 text line one"
"66","doc 4.docx","doc 4 text line one"
"67","doc 4.docx","doc 4 text line one"
"68","doc 4.docx","doc 4 text line one"
"69","doc 4.docx","doc 4 text line one"
"70","doc 4.docx","doc 4 text line one"
"71","doc 4.docx","doc 4 text line one"
"72","doc 4.docx","doc 4 text line one"
"73","doc 4.docx","HEADER 2"
"74","doc 4.docx","doc 4 text line one"
"75","doc 4.docx","doc 4 text line one"
"76","doc 4.docx","doc 4 text line one"
"77","doc 4.docx","doc 4 text line one"
"78","doc 4.docx","doc 4 text line one"
"79","doc 4.docx","doc 4 text line one"
"80","doc 4.docx","doc 4 text line one"
"81","doc 4.docx","HEADER 3"
"82","doc 4.docx","doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph "
"83","doc 4.docx","HEADER 4"
"84","doc 4.docx","doc 4 text line end"
